experiment_id,name,dataset,mock_llm,success,iterations,execution_time,error_category
f3a7da13-ba35-4af5-8215-8b389bc7d779,ablation_epi_mem_without_binary,evaluation/datasets/binary_cls,True,True,2,4.035013437271118,
4d9bb072-df13-46fa-be2d-4a34b58f7eff,ablation_epi_mem_with_binary,evaluation/datasets/binary_cls,True,True,2,4.122464656829834,
f80e570f-8849-4c4c-9520-d5fed9ecda0a,ablation_sem_mem_without_binary,evaluation/datasets/binary_cls,True,True,2,4.12773060798645,
cf3b928d-b210-4adc-a763-946c79fca39e,ablation_sem_mem_with_binary,evaluation/datasets/binary_cls,True,True,2,4.026313304901123,
47d1995d-8397-44b7-afb8-c8b78bcde76a,ablation_sem_mem_without_regression,evaluation/datasets/regression,True,True,2,3.090045690536499,
11dd1881-64a8-463b-8a5f-50c54da8e05c,ablation_sem_mem_with_regression,evaluation/datasets/regression,True,True,2,3.208423614501953,
165e1fda-3ad6-4a91-93b5-2b0218e17a16,baseline_binary_cls,evaluation/datasets/binary_cls,True,True,2,4.104464292526245,
e1421d4f-dce4-42b2-9334-525671cece5a,baseline_multi_cls,evaluation/datasets/multi_cls,True,True,2,4.123018264770508,
1e427ee1-5ccf-474e-ab99-30291c79f62f,baseline_regression,evaluation/datasets/regression,True,True,2,3.100362539291382,
206e88b9-cc5c-489c-ba9d-4522ea735d62,full_system_binary,evaluation/datasets/binary_cls,True,True,2,4.151199102401733,
7c3fd98c-2957-41b5-b947-da300d80d8e3,full_system_multi_cls,evaluation/datasets/multi_cls,True,True,2,4.0851781368255615,
8a8f59f0-a7dd-4907-864a-90252c331026,full_system_regression,evaluation/datasets/regression,True,True,2,3.0375752449035645,
